date,tenedor,value
2006/06,BANCO DE ESPAÑA,7885
2006/06,ENTIDADES DE SEGUROS,16128
2006/06,FONDOS DE PENSIONES,4086
2006/06,FONDOS DE INVERSION,5888
2006/06,OTRAS INSTITUCIONES FINANCIERAS,2928
2006/06,EMPRESAS NO FINANCIERAS,8483
2006/06,PERSONAS FÍSICAS,1697
2006/06,ADMINISTRACIONES PÚBLICAS,18222
2006/06,NO RESIDENTES,130082
2006/06,TOTAL,249748
2006/07,ENTIDADES DE CREDITO,60230
2006/07,BANCO DE ESPAÑA,3689
2006/07,ENTIDADES DE SEGUROS,16072
2006/07,FONDOS DE PENSIONES,4229
2006/07,FONDOS DE INVERSION,5776
2006/07,OTRAS INSTITUCIONES FINANCIERAS,2931
2006/07,EMPRESAS NO FINANCIERAS,8658
2006/07,PERSONAS FÍSICAS,1707
2006/07,ADMINISTRACIONES PÚBLICAS,18346
2006/07,NO RESIDENTES,130884
2006/07,TOTAL,252523
2006/08,ENTIDADES DE CREDITO,56402
2006/08,BANCO DE ESPAÑA,6476
2006/08,ENTIDADES DE SEGUROS,15986
2006/08,FONDOS DE PENSIONES,4751
2006/08,FONDOS DE INVERSION,6020
2006/08,OTRAS INSTITUCIONES FINANCIERAS,2810
